Date,Ticker,Close,Open,High,Low,Adj Close,Volume
2015-01-02,GWW,212.99703979492188,213.66467959963714,214.45752415295925,211.41971719761804,212.99703979492188,314300
2015-01-05,GWW,207.7893524169922,211.72848814631632,212.26260759769522,207.1216999191655,207.7893524169922,394100
2015-01-06,GWW,204.84339904785156,208.2484161738894,208.59058991523298,202.6651900309897,204.84339904785156,427300
2015-01-07,GWW,205.0269775390625,205.30238470521132,206.19537273494365,202.89049947557137,205.0269775390625,339500
2015-01-08,GWW,209.59201049804688,206.454060310643,209.6671180613255,206.454060310643,209.59201049804688,453000
2015-01-09,GWW,207.1634521484375,209.2248226052672,209.29158913543978,206.03680037961053,207.1634521484375,335900
2015-01-12,GWW,204.59295654296875,207.83940359943728,208.598858399891,203.71667625642624,204.59295654296875,367500
2015-01-13,GWW,203.1659393310547,206.00344732798038,206.9548482666593,201.40501158010153,203.1659393310547,399500
2015-01-14,GWW,201.88072204589844,201.89741686636276,202.79874615518247,200.29505793104443,201.88072204589844,753800
2015-01-15,GWW,198.55905151367188,202.82366517471104,204.30084394160656,198.4255184957177,198.55905151367188,489900
2015-01-16,GWW,201.3715362548828,198.5590653161698,201.62190749734864,196.15552176355433,201.3715362548828,654300
2015-01-20,GWW,202.47323608398438,201.9641523805906,203.44133177148976,200.1364582203012,202.47323608398438,365200
2015-01-21,GWW,203.7917938232422,201.263070778312,206.1118762688586,201.0544301789982,203.7917938232422,470500
2015-01-22,GWW,204.60130310058594,204.65137480268973,205.40247580306772,202.9488605246976,204.60130310058594,404800
2015-01-23,GWW,205.29405212402344,203.21598673076528,206.71280595267365,203.21598673076528,205.29405212402344,791900
2015-01-26,GWW,195.963623046875,197.30726921182776,201.86398616866296,194.87034818450235,195.963623046875,1164100
2015-01-27,GWW,193.3514404296875,192.41673447307315,194.74517105812907,191.1481958645154,193.3514404296875,672800
2015-01-28,GWW,192.8173370361328,194.2527857234263,194.39465983695462,191.43197280162696,192.8173370361328,698800
2015-01-29,GWW,196.88999938964844,193.19289332827034,197.66614919929194,192.8924502946042,196.88999938964844,660400
2015-01-30,GWW,196.82322692871094,195.55470103313525,198.9263281010383,194.67840781679772,196.82322692871094,673100
2015-02-02,GWW,200.7206573486328,195.07901844764865,201.13793867151549,194.69511402745383,200.7206573486328,563700
2015-02-03,GWW,204.1089630126953,201.83059814887125,204.66811837675655,201.77218539397023,204.1089630126953,472300
2015-02-04,GWW,199.593994140625,202.14775365487546,202.3396994869204,197.12368324558707,199.593994140625,1554100
2015-02-05,GWW,201.2204132080078,200.9102155602287,202.37732545459517,199.50179620188473,201.2204132080078,833300
2015-02-06,GWW,201.4551239013672,200.81797092776839,203.52584548120046,200.81797092776839,201.4551239013672,506700
2015-02-09,GWW,200.0550537109375,200.5077561525852,202.76291506758565,199.00711836323688,200.0550537109375,508800
2015-02-10,GWW,200.26467895507812,200.9185897133179,201.20362511210305,198.40354439941663,200.26467895507812,446100
2015-02-11,GWW,199.19155883789062,199.30053541691774,200.34009190179125,197.48132116252387,199.19155883789062,889000
2015-02-12,GWW,196.43341064453125,198.48736165655137,199.18319236038,193.24768418089732,196.43341064453125,1278100
2015-02-13,GWW,196.9028778076172,196.500474171339,198.36998745689957,196.45855419435188,196.9028778076172,663700
2015-02-17,GWW,196.03939819335938,196.95319493240945,197.90053277303284,194.3207813149172,196.03939819335938,800500
2015-02-18,GWW,197.55682373046875,196.45858921541023,199.40120070923615,196.3496126064345,197.55682373046875,711400
2015-02-19,GWW,197.4729766845703,197.65741436388944,198.49576280000124,196.60108714739215,197.4729766845703,528700
2015-02-20,GWW,199.64425659179688,196.76872816470888,199.72809653570462,195.5447340614246,199.64425659179688,608800
2015-02-23,GWW,197.99270629882812,198.5711686428431,199.3340686267521,197.28849683314866,197.99270629882812,487700
2015-02-24,GWW,199.11610412597656,197.8502027727426,199.77001478973241,197.04538276002305,199.11610412597656,579500
2015-02-25,GWW,200.85987854003906,198.8310770637205,201.98326226134114,197.43103685125945,200.85987854003906,555200
2015-02-26,GWW,201.5221710205078,200.82634038756194,201.78205695007722,199.87900270296888,201.5221710205078,559200
2015-02-27,GWW,198.61314392089844,201.32100596294444,202.00845786528595,198.61314392089844,198.61314392089844,762900
2015-03-02,GWW,200.53297424316406,198.61316165736184,200.7006413977721,197.8502613928838,200.53297424316406,546500
2015-03-03,GWW,202.2850341796875,199.9460482998329,202.43594350958247,199.07417178905467,202.2850341796875,694600
2015-03-04,GWW,197.85023498535156,199.89580725822046,200.13892268112534,195.42740846692163,197.85023498535156,1158800
2015-03-05,GWW,199.56033325195312,198.45372064946307,200.49089995485738,197.3974068754261,199.56033325195312,540200
2015-03-06,GWW,197.2382049560547,198.01786272229057,198.302898069591,196.7351908672589,197.2382049560547,483500
2015-03-09,GWW,197.70770263671875,197.47296611055137,199.00714520154762,196.7687565320492,197.70770263671875,520800
2015-03-10,GWW,193.0464630126953,195.80462323955646,196.76873144183483,192.98777249254653,193.0464630126953,946600
2015-03-11,GWW,194.63931274414062,192.82009856663862,194.90759032587064,191.26914917868746,194.63931274414062,974100
2015-03-12,GWW,194.25369262695312,195.34353519670447,196.20703293302256,192.94585851732745,194.25369262695312,602200
2015-03-13,GWW,193.42373657226562,193.50757652597437,194.65610969713484,192.3087317072801,193.42373657226562,665000
2015-03-16,GWW,196.181884765625,194.42136097783876,196.3160235662697,193.482402165506,196.181884765625,445900
2015-03-17,GWW,196.57594299316406,194.5722906887724,197.03703720383626,193.64172338802754,196.57594299316406,510200
2015-03-18,GWW,199.87057495117188,196.16507785901848,200.65862421728258,194.64765704226443,199.87057495117188,704200
2015-03-19,GWW,198.73887634277344,198.74726801405183,199.51854703293566,196.82744294984784,198.73887634277344,533100
2015-03-20,GWW,197.97598266601562,199.58562295783065,199.84550893230823,197.70771781216794,197.97598266601562,1248500
2015-03-23,GWW,195.8130340576172,196.39148368493426,196.51724361518822,194.6561092186213,195.8130340576172,645600
2015-03-24,GWW,196.3495330810547,195.77944966609874,198.06813661819143,195.77944966609874,196.3495330810547,535300
2015-03-25,GWW,196.86929321289062,197.60704366194878,198.31963189826422,196.3495214649691,196.86929321289062,606300
2015-03-26,GWW,196.45016479492188,196.54238362248236,197.26336369463337,195.6285870171341,196.45016479492188,504000
2015-03-27,GWW,196.67654418945312,196.28251940919833,197.16277501529188,195.4860781775035,196.67654418945312,382900
2015-03-30,GWW,199.09938049316406,197.5568096037558,199.6862218570889,196.96996823983096,199.09938049316406,395200
2015-03-31,GWW,197.69091796875,198.5208874219708,198.6885545298046,196.81904133270598,197.69091796875,500100
2015-04-01,GWW,194.396240234375,196.91128555274068,197.66579403137757,193.91837548363816,194.396240234375,782300
2015-04-02,GWW,193.17227172851562,194.3962662424372,195.79630678857546,192.6944197060295,193.17227172851562,609400
2015-04-06,GWW,197.1376190185547,191.8141144112355,198.09333567256758,191.18535311801173,197.1376190185547,560800
2015-04-07,GWW,195.21778869628906,196.0142170352823,196.96155472256416,194.69801683567496,195.21778869628906,513200
2015-04-08,GWW,196.43341064453125,194.77348440205483,197.4729672608863,194.77348440205483,196.43341064453125,498400
2015-04-09,GWW,196.88613891601562,195.33518916414846,197.54004968469272,193.91837823462072,196.88613891601562,530900
2015-04-10,GWW,196.76876831054688,197.28016137149072,197.82508274153068,195.82980935749035,196.76876831054688,340300
2015-04-13,GWW,196.97833251953125,197.39750669149876,199.02389173330104,196.80227373874544,196.97833251953125,527300
2015-04-14,GWW,199.65267944335938,198.40354843239362,200.10539477268594,197.13763407833443,199.65267944335938,627400
2015-04-15,GWW,202.73782348632812,199.85390253988749,203.12345664068752,199.26706113617763,202.73782348632812,843600
2015-04-16,GWW,202.77130126953125,209.67091705838402,211.99313266240063,202.43596706302617,202.77130126953125,1883400
2015-04-17,GWW,200.64190673828125,201.12815030325083,203.1821011470121,199.32569372397356,200.64190673828125,1154500
2015-04-20,GWW,200.3233184814453,201.85749736533708,202.25152207939462,199.74485612284258,200.3233184814453,710500
2015-04-21,GWW,203.72702026367188,201.3209646831906,204.5318402779523,201.01915877685795,203.72702026367188,943600
2015-04-22,GWW,204.09591674804688,204.52348262182184,205.52110647887335,202.29347279320478,204.09591674804688,709100
